Anders Albertson,-19.518646240234375,13.56698989868164
Abraham Ancer,-6.995100021362305,18.188568115234375
Stuart Appleby,-40.754425048828125,11.520853996276855
Ryan Armour,-34.446014404296875,27.37274169921875
Aaron Baddeley,2.0387957096099854,42.548954010009766
Sangmoon Bae,8.830475807189941,-6.242636680603027
Ricky Barnes,30.211071014404297,-3.8499181270599365
Ryan Blaum,7.352906227111816,-12.84826946258545
Jonas Blixt,4.848085403442383,-30.526288986206055
Dominic Bozzelli,-0.12061405926942825,-11.992048263549805
Scott Brown,-31.38412857055664,4.330605506896973
Bronson Burgoon,11.786284446716309,4.8443074226379395
Sam Burns,14.544211387634277,-3.6090445518493652
Jonathan Byrd,-34.03318786621094,5.238039493560791
Patrick Cantlay,-30.06654930114746,-16.057992935180664
Roberto Castro,-2.6629974842071533,33.756900787353516
Bud Cauley,-1.9807181358337402,-11.95309829711914
Alex Cejka,0.35800743103027344,11.72533893585205
Cameron Champ,26.14263153076172,-32.17091369628906
John Chin,18.051851272583008,-19.014019012451172
Stewart Cink,20.063634872436523,-12.452630996704102
Wyndham Clark,27.6583194732666,-27.58912467956543
Chad Collins,25.79144859313965,15.82843017578125
Corey Conners,-21.050207138061523,14.103580474853516
Austin Cook,-7.252415657043457,40.72445297241211
Ben Crane,3.3699395656585693,46.909698486328125
Jon Curran,-41.23548126220703,12.719459533691406
Joel Dahmen,-34.353424072265625,24.521942138671875
Cameron Davis,27.273258209228516,-28.701152801513672
Bryson DeChambeau,-8.172442436218262,16.74151039123535
Jason Dufner,20.345603942871094,-19.37840461730957
Tyler Duncan,45.19504165649414,-12.217798233032227
Roberto Díaz,5.170654296875,10.984264373779297
Ernie Els,-22.601640701293945,12.629475593566895
Harris English,1.5293813943862915,-5.506773471832275
Derek Ernst,39.276180267333984,-2.3966879844665527
Julián Etulain,-8.696649551391602,-11.956621170043945
Matt Every,-13.28835391998291,28.393423080444336
Derek Fathauer,-26.148731231689453,14.452983856201172
Tony Finau,-10.327174186706543,-8.809269905090332
Rickie Fowler,-1.8670157194137573,-4.486695289611816
Dylan Frittelli,2.8097290992736816,-5.296828746795654
Jim Furyk,-39.684234619140625,25.558500289916992
Brice Garnett,-36.727691650390625,24.447572708129883
Robert Garrigus,-3.9985756874084473,-12.49710750579834
Brian Gay,-8.332478523254395,29.415096282958984
Lucas Glover,-28.182723999023438,-7.803290843963623
Talor Gooch,-28.60038948059082,1.637967586517334
Jason Gore,-15.322946548461914,22.276460647583008
Cody Gribble,7.863807678222656,-35.096717834472656
Fabián Gómez,1.2596343755722046,46.43717575073242
Bill Haas,-7.03470516204834,2.4616479873657227
Chesson Hadley,46.96833801269531,-19.56604766845703
James Hahn,-38.86479187011719,22.584217071533203
Brandon Harkins,20.05000877380371,-32.29672622680664
Brian Harman,17.415241241455078,-12.195467948913574
David Hearn,-27.462324142456055,15.0850830078125
Russell Henley,-39.06804275512695,21.316490173339844
J.J. Henry,-19.474525451660156,10.147026062011719
Kramer Hickok,-9.546411514282227,34.2503662109375
Tom Hoge,22.50094223022461,-2.5003662109375
Max Homa,41.67839050292969,-3.3082480430603027
Beau Hossler,39.905120849609375,-15.505858421325684
Mackenzie Hughes,-7.869396686553955,-24.562179565429688
Sungjae Im,2.2349979877471924,37.87687683105469
Stephan Jaeger,-7.888025283813477,-0.7476050853729248
Zach Johnson,0.5778564810752869,31.004335403442383
Kyle Jones,51.37031555175781,-11.245959281921387
Matt Jones,47.94904327392578,-14.052484512329102
Sung Kang,7.086539268493652,-14.075448989868164
Michael Kim,21.601093292236328,-18.85467529296875
Whee Kim,-14.155166625976562,21.470834732055664
Chris Kirk,-24.684202194213867,8.503832817077637
Kevin Kisner,-21.524202346801758,29.726032257080078
Patton Kizzire,5.362389087677002,-28.06365394592285
Jim Knous,16.007591247558594,-36.20732879638672
Satoshi Kodaira,-5.97341775894165,18.872886657714844
Jason Kokrak,18.844282150268555,-21.978199005126953
Kelly Kraft,0.17653752863407135,-7.399135112762451
Matt Kuchar,-20.791584014892578,16.88287925720215
Anirban Lahiri,-7.780398845672607,-2.1618144512176514
Martin Laird,26.819189071655273,11.377239227294922
Andrew Landry,-37.88234329223633,3.054182767868042
Scott Langley,-0.9345225095748901,12.1002197265625
Nate Lashley,-14.242045402526855,29.246610641479492
Hank Lebioda,3.9600555896759033,9.257613182067871
Danny Lee,-27.302730560302734,-17.129629135131836
Kyoung-Hoon Lee,-27.14337730407715,7.986323356628418
Nicholas Lindheim,24.36680030822754,15.357972145080566
Luke List,-28.16527557373047,-15.845027923583984
Adam Long,41.13668441772461,-5.0839033126831055
Tom Lovelady,33.85062789916992,-4.179544448852539
Jamie Lovemark,-5.281770706176758,38.344058990478516
Curtis Luck,28.185928344726562,-6.442527770996094
Hunter Mahan,15.299259185791016,2.676298141479492
Peter Malnati,29.275190353393555,11.958348274230957
Steve Marino,49.92814636230469,-17.869266510009766
Denny McCarthy,-15.418251991271973,26.285032272338867
Graeme McDowell,-8.895869255065918,35.79570770263672
Parker McLachlin,28.52524185180664,15.404867172241211
Troy Merritt,9.72854232788086,6.9032063484191895
Keith Mitchell,6.526642322540283,-35.22869873046875
Ryan Moore,45.72541809082031,-20.035930633544922
Trey Mullinax,40.34982681274414,-6.116264343261719
Grayson Murray,23.480316162109375,-34.42906951904297
Sebastián Muñoz,11.569117546081543,-36.22749710083008
Kevin Na,10.942477226257324,8.808927536010742
Joaquin Niemann,13.649629592895508,3.4504806995391846
Sean O'Hair,5.213412761688232,47.68490982055664
Carlos Ortiz,14.412103652954102,1.4045076370239258
Ryan Palmer,-25.731718063354492,-16.134790420532227
Rod Pampling,-28.171825408935547,-9.149751663208008
C.T. Pan,1.9835973978042603,30.2459716796875
Scott Piercy,-12.345619201660156,34.453250885009766
Martin Piller,-9.482222557067871,-13.2840576171875
D.A. Points,-39.80280685424805,9.11427116394043
J.T. Poston,10.6381254196167,-6.385316371917725
Seamus Power,12.658227920532227,-5.563202857971191
Alex Prugh,37.25516891479492,-10.189337730407715
Seth Reeves,24.68572998046875,-35.52607345581055
Wes Roach,0.27465441823005676,45.698341369628906
Patrick Rodgers,-11.10260009765625,0.4712258577346802
Andres Romero,-5.842814922332764,-25.07607078552246
Sam Ryder,-3.8223581314086914,32.8927116394043
Rory Sabbatini,-17.691802978515625,8.540608406066895
Sam Saunders,6.519216537475586,-30.474645614624023
Adam Schenk,-7.629152297973633,-7.01064920425415
Brady Schnell,-37.84455490112305,4.3505473136901855
Ollie Schniederjans,11.743069648742676,-10.375102043151855
John Senden,14.379674911499023,-36.150047302246094
Ben Silverman,-9.525348663330078,31.044029235839844
Webb Simpson,-16.82526397705078,26.568532943725586
Roger Sloan,15.381448745727539,-10.483017921447754
J.J. Spaun,-0.5459401607513428,40.028160095214844
Jordan Spieth,30.904102325439453,11.8351411819458
Scott Stallings,34.885284423828125,-10.125185012817383
Brendan Steele,38.74683380126953,-11.783292770385742
Shawn Stefani,-6.392947673797607,37.763240814208984
Sepp Straka,17.674596786499023,-35.6740837097168
Robert Streb,-29.445880889892578,2.7914083003997803
Kevin Streelman,50.239784240722656,-11.949517250061035
Chris Stroud,25.299625396728516,11.84789752960205
Brian Stuard,3.0462746620178223,11.134153366088867
Adam Svensson,24.898582458496094,-2.5216307640075684
Hudson Swafford,26.946367263793945,-4.777681350708008
Nick Taylor,-8.256050109863281,-5.427454471588135
Vaughn Taylor,-28.469493865966797,7.580766677856445
Josh Teater,8.728591918945312,4.311979293823242
Chris Thompson,21.515413284301758,-3.916034460067749
Michael Thompson,47.879364013671875,-15.99351978302002
Brendon Todd,-21.922304153442383,28.491783142089844
D.J. Trahan,36.250328063964844,-5.4851250648498535
Martin Trainer,20.73237419128418,-34.04180145263672
Cameron Tringale,-4.660223960876465,-25.31829071044922
Kevin Tway,-31.7193603515625,-15.941142082214355
Peter Uihlein,12.388528823852539,-8.0676851272583
Jhonattan Vegas,16.290584564208984,-2.0716631412506104
Johnson Wagner,-39.68976593017578,19.358327865600586
Nick Watney,43.5813102722168,-17.069515228271484
Richy Werenski,-6.268563747406006,0.45736193656921387
Aaron Wise,-0.8844790458679199,-15.128294944763184
Gary Woodland,43.60499572753906,-15.815481185913086
Chase Wright,0.5929540991783142,39.56917190551758
